time,S1,S2,I1,I2,R1,R2,W1,W2
163.75,2812.9123585909792,1857.1396896362032,89.8755764887386,111.26921044060532,7083.0459729743425,8015.559979963261,46.460546299894695,101.3138546362397
163.8,2811.919381008282,1855.9176592175445,89.74368865317321,111.09866237531726,7084.168593152249,8016.9497788494355,46.418890474976706,101.24904559838374
163.85000000000002,2810.9278340897886,1854.6974571446133,89.6120206712778,110.92842016275678,7085.28956610673,8018.337447797032,46.377252639069496,101.18422561068952
163.9,2809.937715498776,1853.4790802223401,89.48057212870489,110.75848317114625,7086.408894583362,8019.722990625259,46.33563284586959,101.11939482886933
163.95000000000002,2808.949022902894,1852.2625252621372,89.34934261191634,110.58885077012891,7087.526581322554,8021.106411145438,46.29403114882975,101.05455340821065
164,2807.9617539741603,1851.0477890818877,89.21833170818269,110.41952233076647,7088.642629059547,8022.487713161019,46.25244760115983,100.98970150357724
164.05,2806.9759063889487,1849.8348685059245,89.08753900558149,110.25049722553547,7089.7570405244305,8023.866900467599,46.21088225582733,100.92483926940989
164.10000000000002,2805.991477827982,1848.623760365022,88.95696409299676,110.08177482832507,7090.8698184421455,8025.243976852941,46.169335165558216,100.8599668597275
164.15,2805.0084659763234,1847.4144614963784,88.82660656011753,109.91335451443365,7091.980965532504,8026.618946096988,46.12780638283756,100.79508442812796
164.20000000000002,2804.026868523361,1846.2069687435987,88.69646599743652,109.74523566056577,7093.090484510191,8027.991811971886,46.08629595991018,100.73019212778888
164.25,2803.0466831628105,1845.0012789566854,88.56654199624961,109.57741764482981,7094.1983780847795,8029.362578241994,46.04480394878148,100.6652901114688
164.3,2802.067907592696,1843.7973889920181,88.43683414865399,109.40989984673423,7095.304648960738,8030.731248663913,46.003330401217944,100.60037853150786
164.35000000000002,2801.090539515347,1842.5952957123436,88.30734204754762,109.24268164718539,7096.40929983744,8032.097826986492,45.96187536874803,100.53545753982885
164.4,2800.114576637386,1841.3949959867603,88.17806528662787,109.07576242848427,7097.512333409177,8033.462316950847,45.92043890266278,100.47052728793814
164.45000000000002,2799.140016669722,1840.1964866906999,88.0490034603901,108.90914157432321,7098.613752365166,8034.824722290389,45.87902105401639,100.40558792692639
164.5,2798.1668573275415,1838.9997647059186,87.92015616412704,108.74281846978378,7099.713559389561,8036.1850467308295,45.83762187362712,100.34063960746968
164.55,2797.1950963302975,1837.804826920478,87.79152299392712,108.57679250133296,7100.811757161461,8037.543293990202,45.79624141207776,100.2756824798303
164.60000000000002,2796.224731401703,1836.6116702287343,87.66310354667368,108.41106305682088,7101.908348354921,8038.8994677788805,45.75487971971649,100.21071669385768
164.65,2795.255760269723,1835.420291531322,87.53489742004382,108.24562952547765,7103.003335638963,8040.253571799595,45.713536846657476,100.14574239898931
